Agreed ^vbd+vpub++xvbn+=Agreed,
this ^dt+dem+++=this
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
this ^dt+dem+++=this
all ^abn++++=all
stuff ^nn++++=stuff
you ^pp2+pp2+++=you
want ^vb++++=want
me ^pp1o+pp1+++=me
to ^to++++=to
try ^vbi++++=try
on ^in+strn+++=on?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
s ^zz++++=s
the ^ati++++=the
bottled ^jj+atrb+++=bottled
city ^nn++++=city
of ^in++++=of
Kandor ^np+++??+=Kandor.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
Kandor ^np+++??+=Kandor
was ^vbd+bedz+vrb++=was
the ^ati++++=the
capital ^nn++++=capital
city ^nn++++=city
of ^in++++=of
the ^ati++++=the
planet ^nn++++=planet
Krypton ^np+++??+=Krypton,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
miniaturised ^vpsv++by+xvbnx+=miniaturised
by ^in++++=by
Brainiac ^np+++??+=Brainiac
before ^cs+sub+++=before
Krypton ^np+++??+=Krypton
exploded ^vbd+++xvbn+=exploded
and ^cc++++=and
then ^rn+tm+++=then
rescued ^vpsv++by+xvbn+=rescued
by ^in++++=by
Superman ^np+nom++??+=Superman.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
a ^at++++=a
lot ^nn++++=lot
cooler ^jjr++++=cooler
when ^wrb+who+++=when
girls ^nns++++=girls
aren ^vbd+++xvbn+=aren
t ^zz++++=t
looking ^vbg+++xvbg+=looking
at ^rb++++=at
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Great ^jj++++=Great,
, ^zz++++=EXTRAWORD
be ^vb+be+vrb++=be
right ^jj++++=right
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here?
? ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
not ^xnot++not++=not
shy ^jj++++=shy.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
won ^vbd+++xvbn+=won
t ^zz++++=t
look ^vb++++=look,
, ^zz++++=EXTRAWORD
why ^wrb+who+whq++=why
would ^md+prd+++=would
you ^pp2+pp2+++=you
look ^vb++++=look,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
s ^zz++++=s
nothing ^pn++++=nothing
to ^to++++=to
see ^vbi+vprv+++=see,
, ^zz++++=EXTRAWORD
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
nothing ^pn++++=nothing
. ^zz++++=.
Putting ^jj+++xvbg+=Putting
them ^pp3o+pp3+++=them
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
Scientists ^nns+nom+++=Scientists
do ^vb+do+vrb++=do
not ^xnot++not++=not
compromise ^nn++++=compromise.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
minds ^nns++++=minds
are ^vb+ber+aux++=are
trained ^vpsv++agls+xvbnx+=trained
to ^to++++=to
synthesise ^vbi++++=synthesise
facts ^nns++++=facts
and ^cc++++=and
come ^vb++++=come
to ^in++++=to
inarguable ^jj+atrb+++=inarguable
conclusions ^nns++++=conclusions.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
to ^to++++=to
mention ^nn+nom+++=mention,
, ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon
is ^vbz+bez+vrb++=is
batcrap ^nn+++??+=batcrap
crazy ^jj++++=crazy.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
careful ^jj++++=careful.
. ^zz++++=EXTRAWORD
That ^cs+sub+++=That
s ^zz++++=s
my ^pp$+pp1+++=my
original ^jj+atrb+++=original
series ^nn++++=series
Battlestar ^np+++??+=Battlestar
Galactica ^np+++??+=Galactica
flight ^nn++++=flight
suit ^nn++++=suit.
. ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
it ^pp3+it+++=it
s ^zz++++=s
not ^xnot++not++=not
a ^at++++=a
costume ^nn++++=costume,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
a ^at++++=a
flight ^nn++++=flight
suit ^nn++++=suit.
. ^zz++++=EXTRAWORD
Uh ^uh++++=Uh-huh,
- ^zz++++=EXTRAWORD
huh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
goes ^vbz++++=goes
with ^in++++=with
my ^pp$+pp1+++=my
corduroy ^nn++++=corduroy
suit ^nn++++=suit.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah.
. ^zz++++=EXTRAWORD
Technically ^rb++++=Technically
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
ll ^nn+++??+=ll
notice ^vb+vprv+++=notice,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
reversible ^jj++++=reversible.
. ^zz++++=EXTRAWORD
So ^ql++++=So
it ^pp3+it+++=it
works ^nns++++=works
as ^ql++++=as
two ^cd++++=two.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah.
. ^zz++++=EXTRAWORD
Everything ^pn++++=Everything
since ^in++++=since
the ^ati++++=the
eighth ^od++++=eighth
grade ^nn++++=grade.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
last ^jj+atrb+++=last
growth ^nn++++=growth
spurt ^nn++++=spurt.
. ^zz++++=EXTRAWORD
Great ^jj++++=Great.
. ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ve ^nn+++??+=ve
been ^vprf+ben+aux+xvbn+=been
thinking ^vbg+++xvbgx+=thinking,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
arguing ^nn++++=arguing
about ^in++++=about
this ^dt+pdem+++=this
why ^wrb+who+++=why
don ^npt++++=don
t ^zz++++=t
. ^zz++++=.
What ^wdt+who+++=What
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
leaving ^vwbg+++xvbg+=leaving
for ^in++++=for
the ^ati++++=the
conference ^nn+nom+++=conference.
. ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon
I ^pp1a+pp1+++=I
didn ^nn+++??+=didn
t ^zz++++=t
mean ^jj++++=mean
it ^pp3+it+++=it
like ^in++++=like
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wasn ^nn+++??+=wasn
t ^zz++++=t
choosing ^vwbg+++xvbg+=choosing
my ^pp$+pp1+++=my
No ^rb+cnj+++=No,
, ^zz++++=EXTRAWORD
no ^at++++=no
not ^xnot++not++=not
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
A ^rb++++=A
little ^rb"++++=little
bit ^nn++++=bit.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
going ^md"++pmd"++=going
to ^md+prd+++=to
ask ^vb++++=ask
you ^pp2+pp2+++=you
one ^cd1++++=one
more ^rbr++++=more
time ^nn++++=time,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
did ^vbd+dod+vrb++=did
the ^ati++++=the
work ^nn++++=work
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
lets ^vbz++++=lets
present ^nn++++=present
the ^ati++++=the
paper ^nn++++=paper
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
Let ^jj+atrb++xvbn+=Let
s ^zz++++=s
go ^vb++++=go.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
re ^in++++=re
right ^nn++++=right,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
side ^nn++++=side
does ^vbz+doz+aux++=does
look ^vb++++=look
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
re ^in++++=re
kidding ^nn++++=kidding.
. ^zz++++=EXTRAWORD
All ^abn++++=All?
? ^zz++++=EXTRAWORD
In ^in++++=In
particle ^nn++++=particle
physics ^nn++++=physics,
, ^zz++++=EXTRAWORD
twenty ^cd++++=twenty
five ^cd++++=five
is ^vbz+bez+vrb++=is
Woodstock ^np++++=Woodstock.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wasn ^nn+++??+=wasn
t ^zz++++=t
expecting ^vwbg+vprv++xvbg+=expecting
such ^abl++++=such
a ^at++++=a
crowd ^nn++++=crowd,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
a ^rb++++=a
little ^rb"++++=little
nervous ^jj++++=nervous.
. ^zz++++=EXTRAWORD
A ^at++++=A
joke ^nn++++=joke.
. ^zz++++=EXTRAWORD
Okay ^rb+dspt+++=Okay.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
about ^in++++=about
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
um ^uh++++=um,
, ^zz++++=EXTRAWORD
okay ^rb+cnj+++=okay,
, ^zz++++=EXTRAWORD
uh ^uh++++=uh
there ^rn+pl+++=there
s ^zz++++=s
this ^dt+dem+++=this
farmer ^nn++++=farmer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
has ^vbz+hvz+vrb++=has
these ^dt+dem+++=these
chickens ^nns++++=chickens,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
won ^vbd+++xvbnx+=won
t ^zz++++=t
lay ^vbd+++xvbn+=lay
any ^dti++++=any
eggs ^nns++++=eggs.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
calls ^vbz++++=calls
a ^at++++=a
physicist ^nn+nom+++=physicist
to ^to++++=to
help ^vbi++++=help.
. ^zz++++=EXTRAWORD
The ^ati++++=The
physicist ^nn+nom+++=physicist
then ^rn+tm+++=then
does ^vbz+doz+vrb++=does
some ^dti++++=some
calculations ^nns+nom+++=calculations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
um ^uh++++=um,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
a ^at++++=a
solution ^nn+nom+++=solution,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
only ^rb+down+++=only
works ^nns++++=works
with ^in++++=with
spherical ^jj+atrb+++=spherical
chickens ^nns++++=chickens
in ^in++++=in
a ^at++++=a
vacuum ^nn++++=vacuum.
. ^zz++++=EXTRAWORD
Right ^jj++++=Right?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
a ^at++++=a
classic ^jj++++=classic,
, ^zz++++=EXTRAWORD
right ^jj++++=right?
? ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
in ^rb++++=in
conclusion ^rb"++++=conclusion,
, ^zz++++=EXTRAWORD
the ^ati++++=the
data ^nns++++=data
show ^vb+vprv+++=show
that ^tht+vcmp+++=that
at ^rb++++=at
temperatures ^nns++++=temperatures
approaching ^vwbg+++xvbg+=approaching
absolute ^jj++++=absolute
zero ^cd++++=zero,
, ^zz++++=EXTRAWORD
the ^ati++++=the
moment ^nn++++=moment
of ^in++++=of
inertia ^nn++++=inertia
changes ^nns++++=changes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
solid ^nn++++=solid
becomes ^vbz++++=becomes
a ^at++++=a
super ^jj++++=super-solid,
- ^zz++++=EXTRAWORD
solid ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
clearly ^rb++++=clearly
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
previously ^rb+tm+++=previously
unknown ^jj+atrb+++=unknown
state ^nn++++=state
of ^in++++=of
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
Thank ^vb++++=Thank
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
there ^rn+pl+++=there
any ^dti++++=any
questions ^nns+nom+++=questions?
? ^zz++++=EXTRAWORD
Any ^dti++++=Any
other ^ap++++=other
questions ^nns+nom+++=questions?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
didn ^nn+++??+=didn
t ^zz++++=t
skip ^vb++++=skip
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
just ^rb+emph+++=just
an ^at++++=an
anecdote ^nn++++=anecdote.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
not ^xnot++not++=not
science ^nn+nom+++=science.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
not ^xnot++not++=not
Isaac ^np++++=Isaac
Newton ^np++++=Newton.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
cannot ^md+pos+not++=cannot
possibly ^rb++++=possibly
be ^vb+be+vrb++=be
that ^tht+vcmp+++=that
arrogant ^jj++++=arrogant.
. ^zz++++=EXTRAWORD
Look ^vb++++=Look,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
weren ^vbd+++xvbn+=weren
t ^zz++++=t
happy ^jj++++=happy
with ^in++++=with
my ^pp$+pp1+++=my
presentation ^nn+nom+++=presentation
then ^rn+tm+++=then
maybe ^rb+hdg+++=maybe
you ^pp2+pp2+++=you
should ^md+nec+++=should
have ^vb+hv+aux++=have
given ^vprf+++xvbnx+=given
it ^pp3+it+++=it
with ^in++++=with
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Really ^rb+cnj+++=Really,
, ^zz++++=EXTRAWORD
so ^ql++++=so
why ^wrb+who+whq++=why
did ^vbd+dod+vrb++=did
you ^pp2+pp2+++=you
come ^vb++++=come?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
didn ^nn+++??+=didn
t ^zz++++=t
screw ^vb++++=screw
it ^pp3+it+++=it
up ^rp++++=up.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ve ^nn+++??+=ve
had ^vb+hv+vrb++=had
enough ^qlp++++=enough
of ^in++++=of
your ^pp$+pp2+++=your
condescension ^nn++++=condescension.
. ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
I ^pp1a+pp1+++=I
didn ^nn+++??+=didn
t ^zz++++=t
go ^vb++++=go
to ^in++++=to
college ^nn++++=college
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
eleven ^cd++++=eleven
like ^in++++=like
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
my ^pp$+pp1+++=my
doctorate ^nn+nom+++=doctorate
at ^in++++=at
24 ^cd++++=24
instead ^rb+cnj+++=instead
of ^in++++=of
16 ^cd++++=16,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
not ^xnot++not++=not
the ^ati++++=the
only ^ap+down+++=only
person ^nn++++=person
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
smarter ^jjr+pred+++=smarter
than ^in++++=than
everyone ^pn++++=everyone
else ^rb+cnj+++=else
in ^in++++=in
this ^dt+dem+++=this
room ^nn++++=room.
. ^zz++++=EXTRAWORD
No ^at++++=No
offense ^nn+++??+=offense.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
clearly ^rb++++=clearly
not ^xnot++not++=not
the ^ati++++=the
only ^ap+down+++=only
person ^nn++++=person
who ^whp+rel+subj++=who
is ^vbz+bez+aux++=is
tormented ^vpsv++by+xvbnx+=tormented
by ^in++++=by
insecurity ^nn+nom+++=insecurity
and ^cc++++=and
has ^vbz+hvz+vrb++=has
an ^at++++=an
ego ^nn++++=ego
in ^in++++=in
need ^in"++++=need
of ^in"++++=of
constant ^jj+atrb+++=constant
validation ^nn+nom+++=validation.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
name ^nn++++=name
is ^vbz+bez+vrb++=is
Dr ^npt++++=Dr
Leonard ^np++++=Leonard
Hofstadter ^np+nom++??+=Hofstadter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
could ^md+pos+++=could
never ^rb++++=never
please ^uh++++=please
my ^pp$+pp1+++=my
parents ^nns++++=parents
so ^ql++++=so
I ^pp1a+pp1+++=I
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
get ^vb++++=get
all ^abn++++=all
my ^pp$+pp1+++=my
self ^nn++++=self-esteem
- ^zz++++=EXTRAWORD
esteem ^nn++++=EXTRAWORD
from ^in++++=from
strangers ^nns+nom+++=strangers
like ^in++++=like
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
s ^zz++++=s
worse ^jjr++++=worse.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
cannot ^md+pos+not++=cannot
blow ^vb++++=blow
up ^rp++++=up
my ^pp$+pp1+++=my
head ^nn++++=head
with ^in++++=with
your ^pp$+pp2+++=your
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
Stop ^vb++++=Stop
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
were ^vbd+bed+aux++=were
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
blow ^vbi++++=blow
up ^rp++++=up
my ^pp$+pp1+++=my
head ^nn++++=head.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
wasn ^nn+++??+=wasn
t ^zz++++=t,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
a ^at++++=a
nutcase ^nn+++??+=nutcase.
. ^zz++++=EXTRAWORD
Stop ^vb++++=Stop,
, ^zz++++=EXTRAWORD
stop ^vb++++=stop
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
quit ^vb++++=quit
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Vulcan ^np+++??+=Vulcan
nerve ^nn++++=nerve
pinch ^nn++++=pinch!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
re ^in++++=re
lucky ^jj++++=lucky
I ^pp1a+pp1+++=I
didn ^nn+++??+=didn
t ^zz++++=t
run ^vbd+++xvbn+=run
you ^pp2+pp2+++=you
over ^rb++++=over.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
re ^in++++=re
right ^nn++++=right,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
the ^ati++++=the
problem ^nn++++=problem,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
the ^ati++++=the
one ^cd1++++=one
that ^dt+pdem+++=that
needs ^vbz++++=needs
help ^vb++++=help.
. ^zz++++=EXTRAWORD
Excuse ^nn++++=Excuse
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
there ^rn+pl+++=there
anything ^pn++++=anything
you ^pp2+pp2+++=you
d ^zz++++=d
like ^vb++++=like
to ^to+vcmp+++=to
apologise ^vbi++++=apologise
for ^in+strn+++=for?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh
jeez ^nn+++??+=jeez.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
this ^dt+dem+++=this
suit ^nn++++=suit
really ^rb+emph+++=really
look ^vb++++=look
that ^dt+dem+++=that
bad ^jj++++=bad?
? ^zz++++=EXTRAWORD
See ^vb+vprv+++=See,
, ^zz++++=EXTRAWORD
the ^ati++++=the
liquid ^jj+atrb+++=liquid
metal ^nn++++=metal
Terminators ^np+++??+=Terminators
were ^vbd+bed+aux++=were
created ^vpsv++agls+xvbnx+=created
in ^in++++=in
the ^ati++++=the
future ^nn++++=future
by ^in++++=by
Skynet ^np+++??+=Skynet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Skynet ^np+++??+=Skynet
was ^vbd+bedz+aux++=was
developed ^vpsv++by+xvbnx+=developed
by ^in++++=by
Miles ^nns++++=Miles
Dyson ^np++++=Dyson,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
future ^jjb++++=future
no ^at++++=no
longer ^rbr++++=longer
exists ^vbz++++=exists,
, ^zz++++=EXTRAWORD
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
Dyson ^vb++++=Dyson
s ^zz++++=s
death ^nn++++=death
in ^in++++=in
Terminator ^np+++??+=Terminator
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
Skynet ^np+++??+=Skynet
is ^vbz+bez+vrb++=is
kinky ^nn+++??+=kinky?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
Alright ^rb+dspt++??+=Alright,
, ^zz++++=EXTRAWORD
oh ^uh++++=oh
wait ^vb++++=wait,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
use ^vb++++=use
it ^pp3+it+++=it
to ^in++++=to
in ^in++++=in
What ^wdt+who+++=What
the ^ati++++=the
hell ^nn++++=hell
is ^vbz+bez+vrb++=is
that ^dt+pdem+++=that?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh
we ^pp1a+pp1+++=we
just ^rb+emph+++=just
had ^vb+hv+vrb++=had
to ^in++++=to
mail ^nn++++=mail
some ^dti++++=some
letters ^nns+nom+++=letters
and ^cc++++=and
throw ^vb++++=throw
away ^rb+phrv+++=away
some ^dti++++=some
chicken ^nn++++=chicken.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
give ^vb++++=give
up ^rb+phrv+++=up.
. ^zz++++=EXTRAWORD
Believe ^vb+vprv+tht0++=Believe
it ^pp3+it+++=it
or ^cc++++=or
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
personal ^jj+atrb+++=personal
growth ^nn++++=growth.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
happened ^vbd+++xvbn+=happened?
? ^zz++++=EXTRAWORD
No ^at++++=No
you ^pp2+pp2+++=you
don ^npt++++=don
t ^zz++++=t.
. ^zz++++=EXTRAWORD
No ^at++++=No
he ^pp3a+pp3+++=he
doesn ^nn+++??+=doesn
t ^zz++++=t.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
congratulations ^nns+nom+++=congratulations,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
a ^at++++=a
lucky ^nn++++=lucky
break ^vb++++=break.
. ^zz++++=EXTRAWORD
No ^at++++=No
you ^pp2+pp2+++=you
don ^npt++++=don
t ^zz++++=t.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
doesn ^nn+++??+=doesn
t ^zz++++=t.
. ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
. ^zz++++=.
uh ^uh++++=uh,
, ^zz++++=EXTRAWORD
Friday ^nr++++=Friday,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
attending ^vbg+++xvbgx+=attending
a ^at++++=a
symposium ^nn++++=symposium
on ^in++++=on
molecular ^jj+atrb+++=molecular
positronium ^nn+++??+=positronium.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
this ^dt+dem+++=this
Friday ^nr++++=Friday,
, ^zz++++=EXTRAWORD
at ^rb++++=at
eight ^cd++++=eight.
. ^zz++++=EXTRAWORD
See ^vb+vprv+tht0++=See
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
So ^ql++++=So?
? ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
worried ^vbd+vprv++xvbn+=worried
about ^in++++=about
your ^pp$+pp2+++=your
safety ^nn++++=safety.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
s ^zz++++=s
very ^ap+amp+++=very
true ^jj++++=true.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
two ^cd++++=two
o ^zz++++=o
clock ^nn++++=clock
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
I ^pp1a+pp1+++=I
highly ^rb+amp+++=highly
doubt ^vb++++=doubt
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
Go ^vb++++=Go
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
you ^pp2+pp2+++=you
still ^rb++++=still
out ^rp+pl+++=out
there ^rn+pl+++=there?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what?
? ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
is ^vbz+bez+aux++=is
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
was ^vbd+bedz+aux++=was
I ^pp1a+pp1+++=I
supposed ^vb++pmd"+xvbnx+=supposed
to ^to+vcmp+pmd++=to
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
would ^md+prd+++=would
have ^vb+hv+aux++=have
hurt ^vprf+++xvbnx+=hurt
her ^pp3o+pp3+++=her
feelings ^nns+nom+++=feelings.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
what ^wdt+who+whq++=what
