Coming ^vbg+++xvbg+=Coming.
you ^pp2+pp2+++=you
guys ^nns++++=guys
going ^vwbg+++xvbg+=going
somewhere ^rb++++=somewhere?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
mean ^vb+vprv+++=mean,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
date ^nn++++=date?
? ^zz++++=EXTRAWORD
Um ^uh++++=Um,
, ^zz++++=EXTRAWORD
o ^zz++++=o-okay.
- ^zz++++=EXTRAWORD
okay ^rb+dspt+++=EXTRAWORD
. ^zz++++=EXTRAWORD
Sure ^jj++++=Sure.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
a ^at++++=a
sec ^npt++++=sec.
. ^zz++++=EXTRAWORD
Too ^ql++++=Too
much ^ap++++=much?
? ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
hang ^nn++++=hang
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
Uh ^uh++++=Uh,
, ^zz++++=EXTRAWORD
about ^in++++=about
two ^cd++++=two
years ^nns++++=years
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
s ^zz++++=s
not ^xnot++not++=not
dying ^nvbg+++xvbg+=dying.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
about ^in++++=about
this ^dt+pdem+++=this?
? ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
okay ^rb+cnj+++=okay,
, ^zz++++=EXTRAWORD
no ^at++++=no.
. ^zz++++=EXTRAWORD
Absolutely ^rb+amp+++=Absolutely
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
Look ^vb++++=Look,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
re ^in++++=re
just ^rb+emph+++=just
gonna ^md+prd+++0=gonna
have ^vb+hv+vrb++=have
dinner ^nn++++=dinner
and ^cc++++=and,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
see ^vb+vprv+++=see
how ^wrb+who+whcl++=how
it ^pp3+it+++=it
goes ^vbz++++=goes.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What?
? ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
dying ^nvbg+++xvbg+=dying.
. ^zz++++=EXTRAWORD
Screw ^vb++++=Screw
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
not ^xnot++not++=not
gonna ^md+prd+++0=gonna
make ^vb++++=make
a ^at++++=a
big ^jj+atrb+++=big
deal ^nn++++=deal
out ^rp+pl+++=out
of ^in++++=of
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
just ^rb+emph+++=just
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
Amy ^np+++??+=Amy,
, ^zz++++=EXTRAWORD
stop ^vb++++=stop
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
God ^np++++=God,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
so ^ql+emph+++=so
nervous ^jj++++=nervous.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
ve ^nn+++??+=ve
finally ^rb++++=finally
gotten ^vb+++xvbn+=gotten
to ^to+vcmp+++=to
a ^at++++=a
place ^nn++++=place
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
can ^md+pos+++=can
hang ^vb++++=hang
out ^rp+pl+++=out
without ^in++++=without
it ^pp3+it+++=it
being ^vbg+beg++xvbg+=being
weird ^jj++++=weird.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
what ^wdt+who+++=what
if ^cs+cnd+++=if
something ^pn++++=something
goes ^vbz++++=goes
wrong ^jj++++=wrong?
? ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
what ^wdt+who+++=what?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
s ^zz++++=s
a ^at++++=a
good ^jj+atrb+++=good
question ^nn+nom+++=question.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
about ^in++++=about
awkward ^jj++++=awkward?
? ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah?
? ^zz++++=EXTRAWORD
Okay ^rb+dspt+++=Okay.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
Penny ^nn++++=Penny.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
uh ^uh++++=uh,
, ^zz++++=EXTRAWORD
let ^jj+atrb++xvbn+=let
s ^zz++++=s
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
from ^in++++=from
Nebraska ^np+++??+=Nebraska,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ever ^rb++++=ever
since ^cs+sub+++=since
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
dreamed ^vbd+vprv++xvbnx+=dreamed
of ^in++++=of
moving ^nn++++=moving
to ^in++++=to
L.a ^np+++??+=L.A.
. ^zz++++=EXTRAWORD
and ^cc+cls+++=and
becoming ^vbg+++xvbg+=becoming
a ^at++++=a
movie ^nn++++=movie
star ^nn++++=star.
. ^zz++++=EXTRAWORD
Anyway ^rb+cnj+++=Anyway,
, ^zz++++=EXTRAWORD
after ^in++++=after
four ^cd++++=four
years ^nns++++=years
of ^in++++=of
acting ^xvbg+++xvbg+=acting
lessons ^nns++++=lessons
and ^cc++++=and
waiting ^nvbg+++xvbg+=waiting
tables ^nns++++=tables,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ve ^vb+++??+=ve
done ^vbd+++xvbn+=done
a ^at++++=a
haemorrhoid ^nn+++??+=haemorrhoid
commercial ^jj++++=commercial
and ^cc++++=and
a ^at++++=a
production ^nn+nom+++=production
of ^in++++=of
Anne ^np++++=Anne
Frank ^np++++=Frank
above ^jjb++++=above
a ^at++++=a
bowling ^jj+++xvbg+=bowling
alley ^npl++++=alley.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
dreams ^nps++++=dreams
do ^vb+do+aux++=do
come ^vb++++=come
true ^jj++++=true.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
turn ^nn++++=turn.
. ^zz++++=EXTRAWORD
Wow ^nn++++=Wow.
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
they ^pp3a+pp3+++=they?
? ^zz++++=EXTRAWORD
Bat ^np+++??+=Bat-signal?
- ^zz++++=EXTRAWORD
signal ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
some ^dti++++=some
kind ^rb++++=kind
of ^rb"++++=of
nerd ^nn+++??+=nerd?
? ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
does ^vbz+doz+aux++=does
that ^dt+dem+++=that
mean ^jj++++=mean?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
so ^ql+emph+++=so
funny ^jj++++=funny.
. ^zz++++=EXTRAWORD
Leonard ^np++++=Leonard,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
nice ^jj+pred+++=nice.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
so ^ql+emph+++=so
glad ^jj++++=glad
we ^pp1a+pp1+++=we
did ^vbd+dod+vrb++=did
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
Whoa ^np+++??+=Whoa.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
so ^ql++++=so
fast ^rb++++=fast.
. ^zz++++=EXTRAWORD
Leonard ^np++++=Leonard,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+tht0++=know
I ^pp1a+pp1+++=I
will ^md+prd+++=will
always ^rb++++=always
have ^vb+hv+vrb++=have
feelings ^nns+nom+++=feelings
for ^in++++=for
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What?
? ^zz++++=EXTRAWORD
So ^ql++++=So?
? ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
would ^md+prd+++=would
you ^pp2+pp2+++=you
say ^vb+vpub+tht0++=say
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
the ^ati++++=the
same ^ap++++=same
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
re ^in++++=re
overthinking ^xvbg+++xvbg+=overthinking
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
always ^rb++++=always
overthink ^jj+atrb++??+=overthink
things ^nns++++=things.
. ^zz++++=EXTRAWORD
See ^vb+vprv+++=See,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
where ^wrb+who+++=where
everything ^pn++++=everything
goes ^vbz++++=goes
wrong ^jj++++=wrong,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
talk ^nn++++=talk.
. ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
out ^rp+pl+++=out
with ^in++++=with
this ^dt+dem+++=this
guy ^np++++=guy
Tj ^np+++??+=TJ
for ^in++++=for
eight ^cd++++=eight
months ^nns++++=months,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
never ^rb++++=never
talked ^vbd+++xvbn+=talked.
. ^zz++++=EXTRAWORD
To ^in++++=To
this ^dt+dem+++=this
day ^nn++++=day,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
even ^rb++++=even
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
Tj ^np+++??+=TJ
stands ^vbz++++=stands
for ^in+ppvb+++=for.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
not ^xnot++not++=not
overthink ^vb+++??+=overthink
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
Bup ^np+++??+=Bup-bup-bup-bup-bup-bup-bup.
- ^zz++++=EXTRAWORD
bup ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
bup ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
bup ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
bup ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
bup ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
bup ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
No ^at++++=No
talking ^nn++++=talking.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
fun ^nn++++=fun.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
hung ^vbd+++xvbn+=hung
in ^in++++=in
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though.
. ^zz++++=EXTRAWORD
So ^ql++++=So
what ^wdt+who+whq++=what
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
do ^vbi++++=do
now ^rn+tm+++=now?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
complicated ^vbd+++xvbn+=complicated.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
just ^rb+cnj+++=just,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
restaurant ^nn+nom+++=restaurant
when ^wrb+who+++=when
you ^pp2+pp2+++=you
said ^vbd+vpub+tht0+xvbn+=said
you ^pp2+pp2+++=you
wanted ^vbd+++xvbn+=wanted
us ^pp1o+pp1+++=us
to ^to++++=to
be ^vbi++vrb++=be
together ^nn+nom+++=together
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
got ^vbd+++xvbn+=got
very ^ql+amp+++=very
real ^jj++++=real
very ^ql+amp+++=very
fast ^rb++++=fast
and ^cc++++=and
I ^pp1a+pp1+++=I
panicked ^vbd+++xvbnx+=panicked.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
do ^vb+do+aux++=do
go ^vb++++=go
out ^rp+pl+++=out
and ^cc++++=and
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do
something ^pn++++=something
stupid ^jj++++=stupid
and ^cc++++=and
dump ^nn++++=dump
you ^pp2+pp2+++=you
again ^rb+tm+++=again?
? ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
be ^vb+be+vrb++=be
serious ^jj+pred+++=serious.
. ^zz++++=EXTRAWORD
So ^ql++++=So
we ^pp1a+pp1+++=we
don ^npt++++=don
t ^zz++++=t
tell ^vb++++=tell
people ^nns++++=people
we ^pp1a+pp1+++=we
re ^in++++=re
back ^jjb++++=back
together ^nn+nom+++=together?
? ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
don ^npt++++=don
t ^zz++++=t
really ^rb+emph+++=really
have ^md"++pmd"++=have
to ^md+nec+++=to
pretend ^vb+vprv+++=pretend.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
great ^jj++++=great.
. ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
just ^rb+emph+++=just
remembered ^vbd+vprv++xvbn+=remembered.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
still ^rb++++=still
got ^vbd+++xvbn+=got
one ^pn++++=one
of ^in++++=of
your ^pp$+pp2+++=your
inhalers ^nns+nom+++=inhalers.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
gonna ^md+prd+++0=gonna
throw ^vb++++=throw
it ^pp3+it+++=it
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
just ^rb+emph+++=just
couldn ^nn+++??+=couldn
t ^zz++++=t.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
you ^pp2+pp2+++=you
go ^vb++++=go,
, ^zz++++=EXTRAWORD
guys ^nns++++=guys,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
me ^pp1o+pp1+++=me
get ^vb++++=get
you ^pp2+pp2+++=you
going ^vbg+++xvbg+=going
with ^in++++=with
some ^dti++++=some
water ^nn++++=water.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
need ^vb++++=need
menus ^vbz+++??+=menus
or ^cc++++=or
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
you ^pp2+pp2+++=you
want ^vb++++=want?
? ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
s ^zz++++=s
okay ^rb+cnj+++=okay,
, ^zz++++=EXTRAWORD
Bernadette ^np+nom++??+=Bernadette.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
these ^dt+dem+++=these
things ^nns++++=things
just ^rb+emph+++=just
don ^npt++++=don
t ^zz++++=t
work ^nn++++=work
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Wow ^nn++++=Wow,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
re ^in++++=re
like ^in++++=like
a ^at++++=a
dog ^nn++++=dog
with ^in++++=with
a ^at++++=a
bone ^nn++++=bone,
, ^zz++++=EXTRAWORD
aren ^j+++xvbn+=aren
t ^zz++++=t
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
the ^ati++++=the
point ^nn++++=point
that ^tht+rel+obj++=that
you ^pp2+pp2+++=you
don ^npt++++=don
t ^zz++++=t
know ^vb+vprv+++=know
when ^wrb+who+whcl++=when
to ^to++++=to
let ^vbi++++=let
something ^pn++++=something
go ^vb++++=go?
? ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
hang ^nn++++=hang
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
why ^wrb+who+whcl++=why
we ^pp1a+pp1+++=we
can ^md+pos+++=can
t ^zz++++=t
be ^vb+be+vrb++=be
together ^nn+nom+++=together?
? ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
you ^pp2+pp2+++=you
always ^rb++++=always
have ^md"++pmd"++=have
to ^md+nec+++=to
be ^vbi++vrb++=be
right ^jj++++=right.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
just ^rb+emph+++=just
realized ^vbn+vprv+tht0+xvbn+=realized
I ^pp1a+pp1+++=I
m ^zz++++=m
on ^rp++++=on
a ^at++++=a
break ^nn++++=break.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ll ^nn+++??+=ll
get ^vb++++=get
someone ^pn++++=someone
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
Mind ^nn++++=Mind
explaining ^vwbg+vpub++xvbg+=explaining
to ^in++++=to
me ^pp1o+pp1+++=me
why ^wrb+who+++=why
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
being ^vbg+beg++xvbg+=being
such ^abl++++=such
a ^at++++=a
jerk ^nn++++=jerk
at ^in++++=at
the ^ati++++=the
restaurant ^nn+nom+++=restaurant?
? ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
the ^ati++++=the
plan ^nn++++=plan
was ^vbd+bedz+aux++=was
to ^to++++=to
tell ^vbi++++=tell
people ^nns++++=people
we ^pp1a+pp1+++=we
decided ^vbd+vprv++xvbn+=decided
to ^to+vcmp+++=to
stay ^vbi++++=stay
friends ^nns++++=friends.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
s ^zz++++=s
a ^rb++++=a
little ^rb"++++=little
hard ^jj++++=hard
to ^to+jcmp+++=to
do ^vbi++++=do
when ^wrb+who+++=when
you ^pp2+pp2+++=you
re ^in++++=re
always ^rb++++=always
being ^vbg+beg++xvbg+=being
such ^abl++++=such
a ^at++++=a
tool ^nn++++=tool
bag ^nn++++=bag.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hell ^nn++++=hell
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you
re ^in++++=re
going ^xvbg+++xvbg+=going?
? ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
kind ^rb+hdg+++=kind
of ^rb"+hdg"+++=of,
, ^zz++++=EXTRAWORD
yeah ^uh++++=yeah.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean?
? ^zz++++=EXTRAWORD
That ^dt+dem+++=That
s ^zz++++=s
because ^cs+cos+++=because
you ^pp2+pp2+++=you
overthink ^vb+++??+=overthink
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
guys ^nns++++=guys
going ^vwbg+++xvbg+=going
somewhere ^rb++++=somewhere?
? ^zz++++=EXTRAWORD
Uh ^uh++++=Uh,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
you ^pp2+pp2+++=you
thought ^vbd+++xvbn+=thought
this ^dt+dem+++=this
through ^in+strn+++=through?
? ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
a ^rb++++=a
little ^rb"++++=little
late ^jj++++=late
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
start ^vbi++++=start
saying ^vbg+++xvbg+=saying
no ^at++++=no,
, ^zz++++=EXTRAWORD
isn ^nn+++??+=isn
t ^zz++++=t
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Sorry ^uh++++=Sorry,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
remembered ^vbd+vprv+tht0+xvbn+=remembered
I ^pp1a+pp1+++=I
ve ^nn+++??+=ve
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
stop ^vbi++++=stop
by ^in++++=by
the ^ati++++=the
drugstore ^nn++++=drugstore.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
a ^at++++=a
really ^rb+emph+++=really
nice ^jj+atrb+++=nice
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
glad ^jj++++=glad
you ^pp2+pp2+++=you
asked ^vbd+vsua++xvbn+=asked
me ^pp1o+pp1+++=me
out ^rp+pl+++=out
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see
me ^pp1o+pp1+++=me
all ^abn++++=all
the ^ati++++=the
time ^nn++++=time.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
sure ^jj++++=sure
you ^pp2+pp2+++=you
just ^rb+emph+++=just
don ^npt++++=don
t ^zz++++=t
miss ^npt++++=miss
the ^ati++++=the
sex ^nn++++=sex?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
not ^xnot++not++=not
wrong ^jj++++=wrong.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
just ^rb+emph+++=just
think ^vb+vprv+++=think
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
re ^in++++=re
gonna ^nn++++=gonna
try ^vb++++=try
dating ^vbg+++xvbg+=dating
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
should ^md+nec+++=should
take ^vb++++=take
things ^nns++++=things
slow ^jj++++=slow.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
not ^xnot++not++=not
that ^dt+dem+++=that
slow ^jj++++=slow.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
for ^in++++=for
fun ^nn++++=fun,
, ^zz++++=EXTRAWORD
let ^jj+atrb++xvbn+=let
s ^zz++++=s
say ^vb+vpub+tht0++=say
I ^pp1a+pp1+++=I
m ^zz++++=m
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
mean ^jj++++=mean
like ^in++++=like
a ^at++++=a
beta ^nn++++=beta
test ^nn++++=test?
? ^zz++++=EXTRAWORD
Seriously ^rb+cnj+++=Seriously,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
I ^pp1a+pp1+++=I
not ^xnot++not++=not
get ^vb++++=get
credit ^nn++++=credit
for ^in++++=for
knowing ^xvbg+++xvbg+=knowing
beta ^nn++++=beta
test ^nn++++=test?
? ^zz++++=EXTRAWORD
All ^abn++++=All
right ^jj++++=right.
. ^zz++++=EXTRAWORD
Let ^jj+atrb++xvbn+=Let
s ^zz++++=s
give ^vb++++=give
it ^pp3+it+++=it
a ^at++++=a
shot ^nn+++xvbn+=shot.
. ^zz++++=EXTRAWORD
Okay ^rb+dspt+++=Okay.
. ^zz++++=EXTRAWORD
Good ^jj+atrb+++=Good
night ^nn++++=night,
, ^zz++++=EXTRAWORD
Leonard ^np++++=Leonard.
. ^zz++++=EXTRAWORD
Uh ^uh++++=Uh,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
re ^in++++=re
not ^xnot++not++=not
counting ^nvbg+++xvbg+=counting
this ^dt+dem+++=this
as ^in++++=as
a ^at++++=a
date ^nn++++=date,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
we ^pp1a+pp1+++=we?
? ^zz++++=EXTRAWORD
Bug ^nn++++=Bug
report ^vb++++=report
Even ^rb++++=Even
Doctor ^nn++++=Doctor
Who ^whp+rel+obj++=Who.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
thank ^vb++++=thank
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ll ^nn+++??+=ll
see ^vb+vprv+tht0++=see
you ^pp2+pp2+++=you
tomorrow ^nr+tm+++=tomorrow.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
s ^zz++++=s
this ^dt+pdem+++=this?
? ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
s ^zz++++=s
quite ^abl++++=quite
a ^at++++=a
list ^nn++++=list
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh.
. ^zz++++=EXTRAWORD
Yep ^np+++??+=Yep.
. ^zz++++=EXTRAWORD
Yep ^np+++??+=Yep.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
open ^jj++++=open.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
hang ^nn++++=hang
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
me ^pp1o+pp1+++=me
just ^rb+emph+++=just
finish ^vb++++=finish
this ^dt+dem+++=this
chapter ^nn++++=chapter.
. ^zz++++=EXTRAWORD
No ^at++++=No,
